,smiles,6vww_pocket108,name,6vww_pocket9,6vww_pocket100,6vww_pocket22,6vww_pocket154,6vww_pocket18,6vww_pocket57,6vww_pocket143,6vww_pocket3,6vww_pocket157,6vww_pocket37,6vww_pocket1,6vww_pocket13,6vww_pocket6,6vww_pocket17,6vww_pocket130,6vww_pocket23,6vww_pocket71,6vww_pocket62,6vww_pocket135,6vww_pocket11,6vww_pocket156,6vww_pocket8
30,Brc1c(NC2=NCCN2)ccc2nccnc12,5.876856803894043,DB-375,6.895542621612549,9.568134307861328,8.241420745849611,4.588583469390869,6.983705520629883,9.28846263885498,5.8486433029174805,5.600234508514403,6.236440658569336,6.645140647888184,5.788449764251709,9.87488079071045,8.436734199523926,6.909865379333496,5.352310657501222,8.679280281066895,5.99881649017334,9.926106452941896,3.535749673843384,7.288997173309326,4.629786968231201,5.819928169250487
31,Cn1ncc(N2CC3CC4CC(C3)CC2C4)c(Br)c1=O,6.219546794891357,Z1189018393,5.202400207519531,8.263566970825195,6.026430130004883,3.568944931030273,7.367776393890381,8.424593925476074,6.275411605834961,7.612976551055907,8.058080673217772,5.682608127593994,8.322339057922362,8.170324325561522,6.945122718811035,7.881565570831299,4.384820461273193,5.9583048820495605,6.166291236877441,8.534802436828612,-0.0,8.007709503173826,3.3156647682189937,8.40373420715332
32,Cn1ncc(N2CCCCC2)c(Br)c1=O,6.370617866516112,Z1189013407,6.484836101531982,9.013837814331056,7.339602947235107,4.976112365722656,6.839397430419923,9.27768325805664,6.485093593597412,6.617595672607423,6.82125186920166,5.517226219177246,6.832611560821532,8.749534606933594,9.133136749267578,6.8908138275146475,4.791036605834961,6.9009437561035165,6.243093490600586,9.108104705810547,2.977482557296753,6.7557878494262695,4.73695707321167,6.841795444488525
33,O=C(Nc1cc(Br)c[nH]c1=O)c1ccc2ccccc2c1,7.539501190185548,Z838839118,8.032419204711914,9.385870933532717,6.892597198486327,4.54804801940918,8.296939849853517,9.144649505615234,7.30862283706665,6.355683326721191,5.44270133972168,6.914960861206055,6.52927303314209,9.362164497375488,8.764720916748049,7.96726131439209,6.356799125671388,6.905762672424316,7.428834438323975,9.243197441101074,3.6386432647705083,8.31797981262207,5.299754142761231,6.503116130828857
34,CN(CCOc1ccccc1)C(=O)c1cc(Br)c[nH]1,7.170574188232423,Z166976878,7.891392230987549,9.532196044921877,6.866750240325928,5.325399875640869,8.359094619750978,10.181564331054688,6.847892284393311,7.348931312561035,7.183453559875487,6.1035518646240225,7.152560234069824,8.76582145690918,9.64414119720459,9.175318717956543,6.80772590637207,6.368864059448242,6.918251037597656,9.666970252990724,6.751555442810059,9.017682075500488,5.3731560707092285,7.187042236328125
35,CN(CCOc1ccccc1Cl)C(=O)c1cc(Br)c[nH]1,6.9699974060058585,Z119868800,7.968199253082275,9.677694320678713,7.1856369972229,5.33937931060791,8.990850448608398,9.765609741210938,6.767397880554199,6.940135002136231,7.321282386779785,5.61326789855957,7.9053101539611825,9.102945327758787,8.835651397705078,8.68489933013916,6.513174057006836,7.125357627868652,6.682405471801758,9.601849555969238,2.218783140182495,8.959611892700195,5.5842132568359375,8.097710609436035
36,CN(CCOc1ccccc1F)C(=O)c1cc(Br)c[nH]1,6.940505027770996,Z119646998,8.082150459289549,10.21863842010498,6.529237270355225,5.209836483001709,8.519744873046875,10.081750869750977,6.785309791564941,7.112175464630128,7.040424823760986,5.794693946838379,7.7652482986450195,8.866596221923828,10.653099060058594,8.862228393554688,6.726437568664551,6.5338215827941895,6.649435520172119,10.37667179107666,2.698284387588501,8.455848693847656,5.7403059005737305,7.916827201843263
37,CN(Cc1c(F)cccc1Cl)C(=O)c1cc(Br)c[nH]1,7.0044121742248535,Z99333088,8.03083610534668,9.828189849853516,7.473135948181152,5.510272979736328,9.36943817138672,10.68368148803711,7.056532382965088,7.6938114166259775,7.895112991333008,6.906267166137695,8.051231384277344,9.15070343017578,9.957794189453123,9.448333740234377,6.6718807220458975,7.545823097229004,7.2811174392700195,9.8137845993042,4.000010013580321,9.47541046142578,5.611364841461182,7.808955192565918
38,CN(Cc1ccsc1)C(=O)c1cc(Br)c[nH]1,7.0,Z99473223,7.943147659301758,11.529854774475098,7.702649116516112,5.6064796447753915,8.602165222167969,11.299711227416992,7.111989974975586,7.066414833068848,7.160285472869872,6.908513069152832,8.036415100097656,9.510552406311037,11.577013969421387,8.976813316345215,6.874359130859375,7.674986839294434,7.002129554748535,11.504467964172365,5.854623317718506,9.069926261901855,5.9451093673706055,7.9020347595214835
39,O=C(c1cc(Br)c[nH]1)N1CCC(c2nc3ccccc3o2)CC1,7.217410087585449,Z99357872,8.680755615234375,9.05302619934082,8.847625732421875,4.974363803863525,8.893012046813965,11.157294273376463,7.259147644042969,5.9882850646972665,4.663092613220215,7.28394889831543,6.318145275115968,8.23708438873291,8.27154541015625,8.575141906738281,5.974855899810791,8.339181900024414,7.115530967712402,9.805840492248537,2.355144500732422,8.265216827392576,6.325883388519287,6.008072853088379
40,O=C(c1cc(Br)c[nH]1)N1CCCC(n2cncn2)C1,8.117979049682617,Z1127291906,8.600428581237793,11.805727005004885,9.136761665344238,5.790362358093263,8.920843124389648,11.58971118927002,8.079571723937987,7.419534683227539,8.538774490356445,7.85314130783081,8.054096221923826,9.83779525756836,11.576387405395508,9.205899238586426,7.091621398925781,8.521364212036133,8.215267181396483,11.51849365234375,3.148343801498413,9.19057846069336,5.867029666900635,8.455133438110353
41,CC(C)(O)C1CCCN1C(=O)c1cc(Br)c[nH]1,6.9014739990234375,Z1550263192,6.78433895111084,8.747512817382812,7.802102088928223,6.379586219787598,7.9097795486450195,8.892927169799805,7.1616291999816895,7.293658256530763,7.451462745666504,6.43918514251709,7.401176452636719,8.063510894775389,8.453088760375978,9.20883560180664,5.846800804138184,7.679115295410156,6.760449409484862,8.712398529052733,3.8810391426086426,9.266379356384276,6.3256263732910165,7.408231735229492
