smiles,6vww_pocket108,6vww_pocket9,6vww_pocket100,6vww_pocket22,6vww_pocket154,6vww_pocket18,6vww_pocket57,6vww_pocket143,6vww_pocket3,6vww_pocket157,6vww_pocket37,6vww_pocket1,6vww_pocket13,6vww_pocket6,6vww_pocket17,6vww_pocket130,6vww_pocket23,6vww_pocket71,6vww_pocket62,6vww_pocket135,6vww_pocket11,6vww_pocket156,6vww_pocket8
COC(=O)[C@H](C)NC(=O)c1nnn(-c2ccccc2Cl)c1C,5.040765285491943,6.58289909362793,6.903952121734619,6.318272113800049,4.029703140258788,7.362671852111816,7.682101726531982,5.035041332244873,4.012295722961427,3.879678964614868,6.0290703773498535,5.848254203796388,7.002683162689209,6.9166908264160165,6.9928956031799325,4.948184013366699,6.3290300369262695,4.8118629455566415,7.713330268859862,2.2841660976409908,6.92899227142334,3.7897357940673833,5.9092206954956055
COC(=O)c1ccc(-c2c(Nc3ccccc3C)oc3c2c(=O)n(C)c(=O)n3C)cc1,4.790647506713867,7.393553733825684,8.234701156616211,3.6512837409973145,2.4232423305511475,5.773925304412843,8.481223106384277,4.621155738830566,5.498113632202148,5.672914505004883,3.5467538833618164,6.829114437103272,6.596610069274902,7.960528373718263,5.754648208618164,4.994009017944336,3.3811025619506836,4.881279945373535,8.533049583435059,-0.0,5.639008522033691,2.269814968109131,7.4857025146484375
N#Cc1cc(F)c(NCc2ccnc(OC3CCOCC3)c2)c(F)c1,6.199529647827148,8.15155029296875,8.537571907043457,6.0524959564208975,3.266146183013916,7.195687294006348,7.958585739135742,6.14875602722168,5.640283584594728,4.430036544799805,4.784280776977539,6.027190685272218,7.739500999450684,7.563570499420166,7.577032566070557,5.353692054748535,6.133148193359375,6.043755531311035,8.295564651489258,1.8566844463348389,7.3945393562316895,4.030963897705078,5.947300434112549
COc1cc(CN(C)C(=O)c2ccc(OC)c(S(=O)(=O)N(C)C)c2)ccc1OC(F)F,3.711642026901245,5.511727809906006,5.203173637390137,5.121062278747559,2.731388568878174,5.495756149291992,6.441270351409912,3.4162845611572266,2.6464672088623047,1.7179746627807615,3.693369865417482,2.7440505027771,7.202431201934815,5.989792823791504,6.379366874694824,2.018139839172364,5.016670227050781,3.4104788303375244,6.262972354888916,-0.0,5.214507102966309,1.3857073783874512,2.7274317741394043
CCC1(C)CC1C(=O)NCCc1nc(C(=O)O)cs1,6.947445869445801,7.004857063293457,9.832571983337402,7.575078964233397,5.156341552734375,7.4693450927734375,9.49341106414795,6.816160678863525,6.4506916999816895,6.74488639831543,7.591984272003174,6.4562883377075195,7.592480182647705,9.859861373901367,8.317290306091309,6.163606643676758,7.442497730255128,7.110774993896484,8.364761352539062,1.7968040704727173,8.241456985473633,5.19062614440918,6.705142021179199
CC(c1ccccc1)N1CCC(NCc2ccccn2)C1,6.730549335479736,8.984811782836914,9.005265235900879,6.914746284484862,3.407181739807129,8.480076789855957,9.98281478881836,6.684091567993164,7.067293643951416,6.639850616455077,6.812458038330077,6.935285568237305,9.643098831176758,8.885000228881836,8.41282844543457,5.648351192474365,6.617260456085205,6.822739124298098,9.218542098999023,3.4954817295074463,8.367615699768066,4.366562366485597,7.157867908477782
O=C(CC1C=CCC1)Nc1cccc(-c2nnc3n2CCCCC3)c1,6.5271854400634775,8.208205223083496,12.00609016418457,6.380263328552246,4.040299892425537,7.460351467132567,11.919700622558596,6.5842461585998535,7.355615139007567,4.259196758270264,6.28339958190918,7.567025661468506,11.021828651428224,11.830981254577635,8.747561454772951,5.783285140991211,6.2211241722106925,6.44895601272583,11.799327850341795,1.4810259342193604,7.507506847381593,4.609842777252197,6.965531826019287
CC(C)N1CCC(NC(=O)CN2CSCC2=O)CC1,5.540774345397949,7.904811859130857,8.042724609375,6.415894508361816,3.430469989776612,7.912009239196777,8.21588134765625,5.391371250152588,5.463455677032472,5.816961288452148,6.511762619018555,5.428296089172363,7.734851837158202,8.113102912902832,8.079407691955566,5.7569313049316415,7.206212997436522,5.403416156768799,8.272312164306639,2.769963502883911,8.102964401245117,3.8516790866851807,5.468328952789307
CO[C@@H]1CC(c2ncc[nH]2)N(Cc2cccc(C(N)=O)c2)C1,6.953516483306885,9.591191291809082,10.730680465698242,7.381715297698975,5.387422561645508,10.193758964538574,10.11211395263672,7.049396991729736,8.987802505493164,8.247941970825195,7.023432731628418,9.010043144226074,9.972782135009766,10.883321762084961,10.14350700378418,7.703009128570557,7.627598762512207,6.5848755836486825,10.25210952758789,2.02368712425232,9.999300003051758,6.212076663970947,9.117828369140623
Cc1ccc(C)c(-c2csc(NC(=O)CCNC(=O)c3ccsc3)n2)c1,4.888957977294922,8.159547805786133,8.106391906738281,6.5570435523986825,3.5457839965820312,7.068543910980225,9.53943157196045,4.7071614265441895,3.915781021118164,3.04092788696289,4.8260459899902335,4.836192607879639,8.399588584899902,8.277420043945312,8.241175651550293,5.01467752456665,6.276503562927246,4.983212471008301,9.576373100280762,-0.0,7.1782732009887695,3.5597624778747563,4.843579292297363
